Clyderól,klájdról,k l aɪ d
Clyde,klájd,k l aɪ d
PS5,péesöt,p eː ɛ ʃø t
DoorDash-t,dordes-t,d oːɹd æ ʃ
Figyu,figyú,f ɪ dʒ ɪ uː
vitapodcastje,vitapodkesztje,v ɪ ɾ ɐ p ɑː d k æ s t dʒ
Xbox-előfizetés,kszbokszelőfizetés,k s b o k s ɛ l øː f i z ɛ t eː ʃ
Steam,sztím,s t iː m
Netflix,netfliksz,n ɛ t f l ɪ k s
HBO,éjcsbíó,eɪ tʃ b iː oʊ
Mr,miszter,m ɪ s t ɚ
PC,píszí,p iː s iː
Donovan,dönóvön,d ə n oʊ v ə
podcastjében,podkasztjében,p o d ts ɑ ʃ c eː
Eric,erik,ɛ ɹ ɪ k
Cartman,kartmen,k ɑːɹ t m ə
ICE-hoz,ájsz-hoz,aɪ s
tapasztala,tepaszztálö,t æ p ɐ s z t ɑː l ə
Asszem,asszem,ɐ s z ɛ m
iPhone-on,ájfónón,aɪf oʊ n oʊ
Woke,vók,w oʊ k
Amerika-gyűlölő,amerikagyűlölő,ɑ m ɛ r i k ɑ ɟ yː l ø l øː
Mar-a-Lagóban,maralagóban,m ɑ r ɑ l ɑ ɡ oː
South,szausz,s aʊ θ
podcastben,podkesztben,p ɑː d k æ s t
podcastedben,podkesztben,p ɑː d k æ s t ᵻ d
podcastembe,podkesztembe,p ɑː d k æ s t ə m
podcasted,podkeszted,p ɑː d k æ s t ᵻ d
podcasttel,podkesztel,p ɑː d k æ s t əl
Mackey,meki,m æ k i
Cartmant,kartment,k ɑːɹ t m ə n
HE-MAN,hímen,h iː m ɑː
bazmeg,bazmeg,b æ z m ɛ ɡ
TiszteldClydeHatalmát,tiszteldklájdhatalmát,t i s t ɛ l dts j d ɛh ɑ t ɑ l m aː
streaming,sztríming,s t ɹ iː m ɪ ŋ
ceche,szecs,s ɛ tʃ
ICE,ájsz,aɪ s
Ide-genren-dészked-ni,idegenrendészkedni,i d ɛ ɡ ɛ n r ɛ n d eː s k ɛ d n i
bagel,béjgel,b eɪ ɡ əl
ICE-nak,ájsz-nak,aɪ s
szétcimbál,szétcimbál,s eː tsː i m b aː l
bakker,bakker,b æ k ɚ
Kristi,kriszti,k ɹ ɪ s t i
Noem,noem,n oʊ ᵻ m
libsi,libsi,l ɪ b s i
Wolt-rendelések,vóltrendelések,w oʊ l t ɹ ɛ n d əl
Ms,misz,ɛ m ɛ s
Tom,tom,t ɑː m
Denver,denver,d ɛ n v ɚ
Charlie,csarli,tʃ ɑːɹ l i
Kirk-díjátadóján,kirk-díjátadóján,k i r k d iː j aː t ɑ d oː j aː
full,full,f ʊ l
extrás,eksztrás,ɛ k s t r aː ʃ
Donovant,donovant,d ɑː n ə v æ n
leszbiket,leszbiket,l ɛ s z b aɪ k
000-et,nullanullanulladiket,n u l l ɑ n u l l ɑn u l l ɑ d i k ɛ
adósságoptimalizáljuk,adósságoptimalizájjuk,ɑ d oː ʃ ʃ aː ɡ o p t i m ɑ l i z aː ʎ j u k
Costa,koszta,k ɔ s t ə
Rica-i,ríka,ɹ iː k ə aɪ
Mar-a-Lagóba,maralagóba,m ɑ r ɑ l ɑ ɡ oː
Mar-a-Lago,marralagó,m ɑːɹ ɹ ɐ l eɪ ɡ oʊ
Maghra,mágra,m ɑː ɡ
Voss,vosz,v ɑː s
Kane,kéjn,k eɪ n
Matal,meral,m æ ɾ əl
Alkenny,elkeni,æ l k ɛ n i
Tamacti,temekti,t æ m æ k t i
Jun,dzsún,dʒ uː
Gether,gezör,ɡ ɛ ð ɚ
Bax,baksz,b æ k s
Ayuráim,aiuráim,ɑ i u r aː i m
Sinjay,szindzséj,s ɪ n dʒ eɪ
Vosst,voszt,v ɑː s
Jerlamarel,dzserlamarel,dʒ ɜː l ɐ m ɛɹ l
Jerlamareltől,dzserlamareltől,dʒ ɜː l ɐ m ɛɹ l
Voss-szal,vosszsal,v ɑː s ʃ æ l
Ilun,ilún,ɪ l uː
Ayura,ájúra,aɪ uː
Belu,belú,b ᵻ l uː
Baxet,bakszet,b æ k s
Ayurák,aiurák,ɑ i u r aː k
ANZUA,enzúö,æ n z uː ə
Zee,zí,z iː
Jerlamarelnek,dzserlamerlnek,dʒ ɜː l ɐ m ɛɹ l
Payan,péjan,p eɪ ə
Parisszel,periszzel,p æ ɹ ɪ s z əl
Haniwa,henivö,h æ n ɪ w ə
Kofun,káfún,k ɑː f uː
Payanba,péjanba,p eɪ ə n
Juntól,dzsuntól,dʒ ʌ n
Sak,szek,s æ k
Jerlamarelt,dzserlamerlt,dʒ ɜː l ɐ m ɛɹ l
Carne,karn,k ɑːɹ n
Souter,szauter,s aʊ ɾ ɚ
Mop,mop,m ɑː p
Randy,rendi,ɹ æ n d i
Sharon,seron,ʃ æ ɹ oʊ
