Isn't,iszönt,ɪ s ə n
it,ájt,aɪ
way,véj,w eɪ
about,abút,ɐ b uː
to,tú,t uː
happen,hepn,h æ p
Now,nau,n aʊ
not,nót,n oʊ
Never,nevör,n ɛ v ɚ
can,kán,k ɑː
pull,pul,p ʊ l
one,van,w ʌ n
class,klesz,k l æ s
rare,ráre,ɹ ɑː
Ba,bá,b ɑː
Boo,bú,b uː
Laboo,lebú,l æ b uː
Booboo,búbú,b uː b uː
Stabo,sztábó,s t ɑː b oʊ
Labo,lábó,l ɑː b oʊ
Making,méjking,m eɪ k ɪ ŋ
Roche,rács,ɹ ɑː tʃ
Mana,mánö,m ɑː n ə
Tancha,tencsö,t æ n tʃ ə
Cargo,kargó,k ɑːɹ ɡ oʊ
winning,vining,w ɪ n ɪ ŋ
Melchior,melkjör,m ɛ l k j ɚ
Mango,menggó,m æ ŋ ɡ oʊ
nothing,naszing,n ʌ θ ɪ ŋ
bounce,baunsz,b aʊ n s
Take,téjk,t eɪ k
our,auör,aʊ ɚ
use,júsz,j uː s
crawl,król,k ɹ ɔː l
machines,mösínz,m ə ʃ iː n z
Try,tráj,t ɹ aɪ
pee,pí,p iː
dangerous,déjndzsörrösz,d eɪ n dʒ ɚ ɹ ə s
Oh,ó,oʊ
my,máj,m aɪ
god,gád,ɡ ɑː d
Wait,vájt,w aɪ
Super,szúpör,s uː p ɚ
alert,eliört,æ l ɪ ɚ
Guys,gájz,ɡ aɪ z
what,vát,w ɑː
are,éjre,eɪ
seeing,szíing,s iː ɪ ŋ
